"企業産業中分類","企業数
(注)","300万円未満","300万円～500万円未満","500万円～1,000万円未満","1,000万円～3,000万円未満","3,000万円～5,000万円未満","5,000万円～1億円未満","1億円～3億円未満","3億円～10億円未満","10億円～50億円未満","50億円以上"
"A～R 全産業（S公務を除く）","10469.0","630.0","3299.0","1281.0","3977.0","564.0","265.0","53.0","26.0","10.0","5.0"
"A～B 農林漁業","103.0","6.0","43.0","18.0","23.0","4.0","6.0","1.0","-","-","-"
"A 農業，林業","78.0","5.0","36.0","9.0","19.0","3.0","4.0","1.0","-","-","-"
"A 農業，林業_01 農業","57.0","4.0","30.0","6.0","12.0","2.0","1.0","1.0","-","-","-"
"A 農業，林業_02 林業","21.0","1.0","6.0","3.0","7.0","1.0","3.0","-","-","-","-"
"B 漁業","25.0","1.0","7.0","9.0","4.0","1.0","2.0","-","-","-","-"
"B 漁業_03 漁業（水産養殖業を除く）","6.0","-","1.0","3.0","1.0","1.0","-","-","-","-","-"
"B 漁業_04 水産養殖業","19.0","1.0","6.0","6.0","3.0","-","2.0","-","-","-","-"
"C～R 非農林漁業（S公務を除く）","10366.0","624.0","3256.0","1263.0","3954.0","560.0","259.0","52.0","26.0","10.0","5.0"
"C 鉱業，採石業，砂利採取業","4.0","-","-","1.0","2.0","1.0","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業_05 鉱業，採石業，砂利採取業","4.0","-","-","1.0","2.0","1.0","-","-","-","-","-"
"D 建設業","1759.0","56.0","424.0","254.0","636.0","274.0","60.0","4.0","6.0","-","-"
"D 建設業_06 総合工事業","982.0","25.0","170.0","131.0","350.0","233.0","49.0","3.0","4.0","-","-"
"D 建設業_07 職別工事業（設備工事業を除く）","323.0","15.0","110.0","59.0","115.0","9.0","2.0","-","1.0","-","-"
"D 建設業_08 設備工事業","454.0","16.0","144.0","64.0","171.0","32.0","9.0","1.0","1.0","-","-"
"E 製造業","1821.0","61.0","457.0","193.0","894.0","82.0","66.0","23.0","9.0","4.0","2.0"
"E 製造業_09 食料品製造業","315.0","13.0","87.0","35.0","154.0","11.0","12.0","-","-","-","-"
"E 製造業_10 飲料・たばこ・飼料製造業","40.0","-","6.0","4.0","19.0","3.0","5.0","3.0","-","-","-"
"E 製造業_11 繊維工業","262.0","5.0","48.0","27.0","149.0","12.0","14.0","1.0","1.0","-","-"
"E 製造業_12 木材・木製品製造業（家具を除く）","118.0","4.0","29.0","13.0","59.0","8.0","1.0","-","-","-","-"
"E 製造業_13 家具・装備品製造業","115.0","3.0","43.0","15.0","51.0","1.0","2.0","-","-","-","-"
"E 製造業_14 パルプ・紙・紙加工品製造業","31.0","2.0","7.0","3.0","17.0","2.0","-","-","-","-","-"
"E 製造業_15 印刷・同関連業","89.0","6.0","26.0","7.0","43.0","1.0","3.0","-","-","-","-"
"E 製造業_16 化学工業","70.0","2.0","7.0","3.0","45.0","2.0","4.0","4.0","1.0","1.0","-"
"E 製造業_17 石油製品・石炭製品製造業","8.0","-","2.0","1.0","3.0","1.0","-","-","-","1.0","-"
"E 製造業_18 プラスチック製品製造業（別掲を除く）","87.0","2.0","15.0","9.0","46.0","7.0","1.0","2.0","2.0","-","-"
"E 製造業_19 ゴム製品製造業","12.0","-","1.0","-","10.0","-","-","1.0","-","-","-"
"E 製造業_20 なめし革・同製品・毛皮製造業","10.0","-","1.0","6.0","1.0","-","-","-","-","-","-"
"E 製造業_21 窯業・土石製品製造業","82.0","5.0","12.0","6.0","48.0","5.0","4.0","-","2.0","-","-"
"E 製造業_22 鉄鋼業","33.0","-","13.0","1.0","12.0","3.0","-","1.0","1.0","1.0","1.0"
"E 製造業_23 非鉄金属製造業","10.0","-","2.0","-","5.0","2.0","1.0","-","-","-","-"
"E 製造業_24 金属製品製造業","162.0","4.0","52.0","23.0","66.0","6.0","7.0","2.0","-","-","-"
"E 製造業_25 はん用機械器具製造業","56.0","3.0","16.0","10.0","21.0","2.0","1.0","1.0","-","1.0","-"
"E 製造業_26 生産用機械器具製造業","109.0","2.0","26.0","6.0","61.0","5.0","5.0","2.0","-","-","1.0"
"E 製造業_27 業務用機械器具製造業","14.0","-","1.0","1.0","6.0","3.0","1.0","2.0","-","-","-"
"E 製造業_28 電子部品・デバイス・電子回路製造業","8.0","-","1.0","-","3.0","-","1.0","1.0","1.0","-","-"
"E 製造業_29 電気機械器具製造業","43.0","2.0","15.0","3.0","18.0","2.0","2.0","-","-","-","-"
"E 製造業_30 情報通信機械器具製造業","6.0","1.0","3.0","1.0","-","-","-","-","1.0","-","-"
"E 製造業_31 輸送用機械器具製造業","33.0","1.0","10.0","3.0","11.0","3.0","1.0","2.0","-","-","-"
"E 製造業_32 その他の製造業","108.0","6.0","34.0","16.0","46.0","3.0","1.0","1.0","-","-","-"
"F 電気・ガス・熱供給・水道業","6.0","2.0","-","-","1.0","-","-","1.0","1.0","1.0","-"
"F 電気・ガス・熱供給・水道業_33 電気業","3.0","1.0","-","-","-","-","-","-","1.0","1.0","-"
"F 電気・ガス・熱供給・水道業_34 ガス業","1.0","-","-","-","-","-","-","1.0","-","-","-"
"F 電気・ガス・熱供給・水道業_35 熱供給業","-","-","-","-","-","-","-","-","-","-","-"
"F 電気・ガス・熱供給・水道業_36 水道業","2.0","1.0","-","-","1.0","-","-","-","-","-","-"
"G 情報通信業","128.0","13.0","42.0","9.0","42.0","7.0","6.0","1.0","1.0","1.0","-"
"G 情報通信業_37 通信業","3.0","-","1.0","1.0","1.0","-","-","-","-","-","-"
"G 情報通信業_38 放送業","6.0","-","-","-","2.0","-","2.0","1.0","-","1.0","-"
"G 情報通信業_39 情報サービス業","75.0","7.0","29.0","5.0","23.0","3.0","3.0","-","1.0","-","-"
"G 情報通信業_40 インターネット附随サービス業","11.0","2.0","3.0","1.0","4.0","-","-","-","-","-","-"
"G 情報通信業_41 映像・音声・文字情報制作業","33.0","4.0","9.0","2.0","12.0","4.0","1.0","-","-","-","-"
"H 運輸業，郵便業","499.0","15.0","66.0","103.0","264.0","18.0","19.0","5.0","-","-","-"
"H 運輸業，郵便業_42 鉄道業","1.0","-","-","-","-","1.0","-","-","-","-","-"
"H 運輸業，郵便業_43 道路旅客運送業","81.0","3.0","9.0","7.0","44.0","3.0","9.0","2.0","-","-","-"
"H 運輸業，郵便業_44 道路貨物運送業","348.0","10.0","39.0","94.0","182.0","12.0","5.0","1.0","-","-","-"
"H 運輸業，郵便業_45 水運業","27.0","-","6.0","1.0","19.0","-","-","1.0","-","-","-"
"H 運輸業，郵便業_46 航空運輸業","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業_47 倉庫業","19.0","1.0","5.0","-","7.0","2.0","3.0","1.0","-","-","-"
"H 運輸業，郵便業_48 運輸に附帯するサービス業","23.0","1.0","7.0","1.0","12.0","-","2.0","-","-","-","-"
"H 運輸業，郵便業_49 郵便業（信書便事業を含む）","-","-","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業","2876.0","159.0","956.0","337.0","1176.0","83.0","54.0","8.0","4.0","2.0","1.0"
"I 卸売業，小売業_50 各種商品卸売業","2.0","-","1.0","-","1.0","-","-","-","-","-","-"
"I 卸売業，小売業_51 繊維・衣服等卸売業","64.0","4.0","16.0","4.0","36.0","-","4.0","-","-","-","-"
"I 卸売業，小売業_52 飲食料品卸売業","351.0","24.0","118.0","48.0","127.0","15.0","8.0","-","1.0","-","-"
"I 卸売業，小売業_53 建築材料，鉱物・金属材料等卸売業","321.0","6.0","61.0","25.0","195.0","14.0","12.0","1.0","-","1.0","-"
"I 卸売業，小売業_54 機械器具卸売業","160.0","7.0","52.0","8.0","75.0","7.0","2.0","2.0","-","-","-"
"I 卸売業，小売業_55 その他の卸売業","282.0","6.0","77.0","34.0","146.0","6.0","6.0","-","1.0","-","-"
"I 卸売業，小売業_56 各種商品小売業","2.0","-","1.0","-","-","-","-","-","-","-","1.0"
"I 卸売業，小売業_57 織物・衣服・身の回り品小売業","169.0","10.0","46.0","22.0","72.0","5.0","1.0","1.0","-","1.0","-"
"I 卸売業，小売業_58 飲食料品小売業","347.0","37.0","130.0","41.0","98.0","8.0","3.0","2.0","2.0","-","-"
"I 卸売業，小売業_59 機械器具小売業","335.0","17.0","119.0","46.0","124.0","11.0","7.0","2.0","-","-","-"
"I 卸売業，小売業_60 その他の小売業","765.0","43.0","298.0","105.0","272.0","16.0","11.0","-","-","-","-"
"I 卸売業，小売業_61 無店舗小売業","78.0","5.0","37.0","4.0","30.0","1.0","-","-","-","-","-"
"J 金融業，保険業","175.0","24.0","84.0","16.0","38.0","2.0","3.0","1.0","1.0","-","1.0"
"J 金融業，保険業_62 銀行業","1.0","-","-","-","-","-","-","-","-","-","1.0"
"J 金融業，保険業_63 協同組織金融業","-","-","-","-","-","-","-","-","-","-","-"
