"""","総数_事業所数","総数_従業者数（注）","総数_従業者数（注）_男","総数_従業者数（注）_女","民営_事業所数","民営_従業者数（注）","民営_従業者数（注）_男","民営_従業者数（注）_女"
"A～S_全産業","50340.0","420219.0","224815.0","195241.0","48411.0","378487.0","201667.0","176657.0"
"A～S_全産業_1～4人","32009.0","65688.0","34255.0","31414.0","31331.0","64220.0","33405.0","30796.0"
"A～S_全産業_5～9","8937.0","58212.0","30256.0","27872.0","8603.0","55961.0","29093.0","26784.0"
"A～S_全産業_10～19","5087.0","68446.0","36280.0","32126.0","4685.0","62732.0","33618.0","29074.0"
"A～S_全産業_20～29","1727.0","41103.0","21022.0","20061.0","1539.0","36552.0","18915.0","17617.0"
"A～S_全産業_30～49","1281.0","48435.0","25682.0","22753.0","1130.0","42724.0","22594.0","20130.0"
"A～S_全産業_50～99","772.0","52745.0","28653.0","24092.0","671.0","45682.0","24046.0","21636.0"
"A～S_全産業_100～199","293.0","39463.0","22179.0","17284.0","254.0","34092.0","18816.0","15276.0"
"A～S_全産業_200～299","46.0","10800.0","5925.0","4875.0","40.0","9394.0","5303.0","4091.0"
"A～S_全産業_300人以上","56.0","35327.0","20563.0","14764.0","44.0","27130.0","15877.0","11253.0"
"A～S_全産業_出向・派遣従業者のみ","132.0","-","-","-","114.0","-","-","-"
"A～R_全産業（Ｓ公務を除く）","49710.0","402805.0","211781.0","190861.0","48411.0","378487.0","201667.0","176657.0"
"A～R_全産業（Ｓ公務を除く）_1～4人","31716.0","65153.0","33860.0","31274.0","31331.0","64220.0","33405.0","30796.0"
"A～R_全産業（Ｓ公務を除く）_5～9","8829.0","57489.0","29710.0","27695.0","8603.0","55961.0","29093.0","26784.0"
"A～R_全産業（Ｓ公務を除く）_10～19","5016.0","67500.0","35526.0","31934.0","4685.0","62732.0","33618.0","29074.0"
"A～R_全産業（Ｓ公務を除く）_20～29","1690.0","40199.0","20297.0","19882.0","1539.0","36552.0","18915.0","17617.0"
"A～R_全産業（Ｓ公務を除く）_30～49","1237.0","46647.0","24160.0","22487.0","1130.0","42724.0","22594.0","20130.0"
"A～R_全産業（Ｓ公務を除く）_50～99","727.0","49584.0","26155.0","23429.0","671.0","45682.0","24046.0","21636.0"
"A～R_全産業（Ｓ公務を除く）_100～199","271.0","36378.0","19962.0","16416.0","254.0","34092.0","18816.0","15276.0"
"A～R_全産業（Ｓ公務を除く）_200～299","43.0","10155.0","5487.0","4668.0","40.0","9394.0","5303.0","4091.0"
"A～R_全産業（Ｓ公務を除く）_300人以上","49.0","29700.0","16624.0","13076.0","44.0","27130.0","15877.0","11253.0"
"A～R_全産業（Ｓ公務を除く）_出向・派遣従業者のみ","132.0","-","-","-","114.0","-","-","-"
"A_農業，林業","199.0","2278.0","1480.0","798.0","193.0","2231.0","1442.0","789.0"
"A_農業，林業_1～4人","79.0","194.0","142.0","52.0","76.0","186.0","134.0","52.0"
"A_農業，林業_5～9","50.0","324.0","205.0","119.0","48.0","310.0","194.0","116.0"
"A_農業，林業_10～19","40.0","521.0","307.0","214.0","40.0","521.0","307.0","214.0"
"A_農業，林業_20～29","12.0","282.0","204.0","78.0","11.0","257.0","185.0","72.0"
"A_農業，林業_30～49","13.0","484.0","335.0","149.0","13.0","484.0","335.0","149.0"
"A_農業，林業_50～99","4.0","294.0","219.0","75.0","4.0","294.0","219.0","75.0"
"A_農業，林業_100～199","1.0","179.0","68.0","111.0","1.0","179.0","68.0","111.0"
"A_農業，林業_200～299","-","-","-","-","-","-","-","-"
"A_農業，林業_300人以上","-","-","-","-","-","-","-","-"
"A_農業，林業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-"
"B_漁業","49.0","644.0","470.0","174.0","49.0","644.0","470.0","174.0"
"B_漁業_1～4人","13.0","29.0","24.0","5.0","13.0","29.0","24.0","5.0"
"B_漁業_5～9","12.0","83.0","62.0","21.0","12.0","83.0","62.0","21.0"
"B_漁業_10～19","14.0","176.0","123.0","53.0","14.0","176.0","123.0","53.0"
"B_漁業_20～29","5.0","127.0","113.0","14.0","5.0","127.0","113.0","14.0"
"B_漁業_30～49","3.0","112.0","74.0","38.0","3.0","112.0","74.0","38.0"
"B_漁業_50～99","2.0","117.0","74.0","43.0","2.0","117.0","74.0","43.0"
"B_漁業_100～199","-","-","-","-","-","-","-","-"
"B_漁業_200～299","-","-","-","-","-","-","-","-"
"B_漁業_300人以上","-","-","-","-","-","-","-","-"
"B_漁業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業","6.0","66.0","51.0","15.0","6.0","66.0","51.0","15.0"
"C_鉱業，採石業，砂利採取業_1～4人","1.0","2.0","2.0","-","1.0","2.0","2.0","-"
"C_鉱業，採石業，砂利採取業_5～9","3.0","18.0","11.0","7.0","3.0","18.0","11.0","7.0"
"C_鉱業，採石業，砂利採取業_10～19","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_20～29","2.0","46.0","38.0","8.0","2.0","46.0","38.0","8.0"
"C_鉱業，採石業，砂利採取業_30～49","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_50～99","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_100～199","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_200～299","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_300人以上","-","-","-","-","-","-","-","-"
"C_鉱業，採石業，砂利採取業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-"
"D_建設業","4521.0","26883.0","22032.0","4851.0","4521.0","26883.0","22032.0","4851.0"
"D_建設業_1～4人","2789.0","6022.0","4720.0","1302.0","2789.0","6022.0","4720.0","1302.0"
"D_建設業_5～9","1066.0","6933.0","5506.0","1427.0","1066.0","6933.0","5506.0","1427.0"
"D_建設業_10～19","475.0","6277.0","5201.0","1076.0","475.0","6277.0","5201.0","1076.0"
"D_建設業_20～29","96.0","2250.0","1934.0","316.0","96.0","2250.0","1934.0","316.0"
"D_建設業_30～49","62.0","2373.0","2110.0","263.0","62.0","2373.0","2110.0","263.0"
"D_建設業_50～99","21.0","1447.0","1233.0","214.0","21.0","1447.0","1233.0","214.0"
"D_建設業_100～199","4.0","576.0","535.0","41.0","4.0","576.0","535.0","41.0"
"D_建設業_200～299","-","-","-","-","-","-","-","-"
"D_建設業_300人以上","2.0","1005.0","793.0","212.0","2.0","1005.0","793.0","212.0"
"D_建設業_出向・派遣従業者のみ","6.0","-","-","-","6.0","-","-","-"
"E_製造業","4186.0","60899.0","41076.0","19823.0","4183.0","60858.0","41056.0","19802.0"
"E_製造業_1～4人","2086.0","4850.0","3080.0","1770.0","2086.0","4850.0","3080.0","1770.0"
"E_製造業_5～9","888.0","5847.0","3431.0","2416.0","888.0","5847.0","3431.0","2416.0"
"E_製造業_10～19","573.0","7714.0","4609.0","3105.0","570.0","7673.0","4589.0","3084.0"
"E_製造業_20～29","232.0","5573.0","3496.0","2077.0","232.0","5573.0","3496.0","2077.0"
"E_製造業_30～49","178.0","6834.0","4383.0","2451.0","178.0","6834.0","4383.0","2451.0"
"E_製造業_50～99","137.0","9387.0","6308.0","3079.0","137.0","9387.0","6308.0","3079.0"
"E_製造業_100～199","60.0","8098.0","5854.0","2244.0","60.0","8098.0","5854.0","2244.0"
"E_製造業_200～299","12.0","2802.0","1796.0","1006.0","12.0","2802.0","1796.0","1006.0"
"E_製造業_300人以上","13.0","9794.0","8119.0","1675.0","13.0","9794.0","8119.0","1675.0"
"E_製造業_出向・派遣従業者のみ","7.0","-","-","-","7.0","-","-","-"
"F_電気・ガス・熱供給・水道業","91.0","2543.0","2378.0","165.0","38.0","1853.0","1744.0","109.0"
"F_電気・ガス・熱供給・水道業_1～4人","19.0","48.0","46.0","2.0","6.0","15.0","14.0","1.0"
"F_電気・ガス・熱供給・水道業_5～9","22.0","148.0","137.0","11.0","8.0","56.0","53.0","3.0"
"F_電気・ガス・熱供給・水道業_10～19","24.0","304.0","277.0","27.0","4.0","54.0","54.0","-"
"F_電気・ガス・熱供給・水道業_20～29","7.0","161.0","149.0","12.0","6.0","136.0","127.0","9.0"
"F_電気・ガス・熱供給・水道業_30～49","6.0","228.0","204.0","24.0","2.0","71.0","64.0","7.0"
"F_電気・ガス・熱供給・水道業_50～99","5.0","352.0","339.0","13.0","5.0","352.0","339.0","13.0"
"F_電気・ガス・熱供給・水道業_100～199","6.0","844.0","820.0","24.0","5.0","711.0","687.0","24.0"
"F_電気・ガス・熱供給・水道業_200～299","2.0","458.0","406.0","52.0","2.0","458.0","406.0","52.0"
"F_電気・ガス・熱供給・水道業_300人以上","-","-","-","-","-","-","-","-"
"F_電気・ガス・熱供給・水道業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-"
"G_情報通信業","259.0","2952.0","1836.0","1116.0","259.0","2952.0","1836.0","1116.0"
"G_情報通信業_1～4人","144.0","282.0","198.0","84.0","144.0","282.0","198.0","84.0"
"G_情報通信業_5～9","40.0","266.0","164.0","102.0","40.0","266.0","164.0","102.0"
"G_情報通信業_10～19","39.0","542.0","311.0","231.0","39.0","542.0","311.0","231.0"
"G_情報通信業_20～29","13.0","313.0","167.0","146.0","13.0","313.0","167.0","146.0"
"G_情報通信業_30～49","8.0","287.0","207.0","80.0","8.0","287.0","207.0","80.0"
"G_情報通信業_50～99","10.0","740.0","517.0","223.0","10.0","740.0","517.0","223.0"
"G_情報通信業_100～199","2.0","311.0","159.0","152.0","2.0","311.0","159.0","152.0"
"G_情報通信業_200～299","1.0","211.0","113.0","98.0","1.0","211.0","113.0","98.0"
"G_情報通信業_300人以上","-","-","-","-","-","-","-","-"
"G_情報通信業_出向・派遣従業者のみ","2.0","-","-","-","2.0","-","-","-"
"H_運輸業，郵便業","944.0","21320.0","17658.0","3662.0","936.0","21267.0","17613.0","3654.0"
"H_運輸業，郵便業_1～4人","224.0","518.0","368.0","150.0","218.0","507.0","362.0","145.0"
"H_運輸業，郵便業_5～9","218.0","1456.0","1168.0","288.0","218.0","1456.0","1168.0","288.0"
"H_運輸業，郵便業_10～19","216.0","3037.0","2619.0","418.0","215.0","3018.0","2601.0","417.0"
"H_運輸業，郵便業_20～29","104.0","2465.0","2125.0","340.0","103.0","2442.0","2104.0","338.0"
"H_運輸業，郵便業_30～49","100.0","3768.0","3176.0","592.0","100.0","3768.0","3176.0","592.0"
"H_運輸業，郵便業_50～99","50.0","3252.0","2727.0","525.0","50.0","3252.0","2727.0","525.0"
"H_運輸業，郵便業_100～199","20.0","2830.0","2621.0","209.0","20.0","2830.0","2621.0","209.0"
"H_運輸業，郵便業_200～299","3.0","645.0","557.0","88.0","3.0","645.0","557.0","88.0"
"H_運輸業，郵便業_300人以上","6.0","3349.0","2297.0","1052.0","6.0","3349.0","2297.0","1052.0"
"H_運輸業，郵便業_出向・派遣従業者のみ","3.0","-","-","-","3.0","-","-","-"
"I_卸売業，小売業","13375.0","83178.0","40837.0","42254.0","13370.0","83144.0","40831.0","42226.0"
"I_卸売業，小売業_1～4人","9002.0","19595.0","9775.0","9805.0","9000.0","19592.0","9774.0","9803.0"
"I_卸売業，小売業_5～9","2417.0","15595.0","8096.0","7457.0","2415.0","15579.0","8093.0","7444.0"
"I_卸売業，小売業_10～19","1214.0","16103.0","8503.0","7590.0","1213.0","16088.0","8501.0","7577.0"
"I_卸売業，小売業_20～29","318.0","7495.0","3847.0","3628.0","318.0","7495.0","3847.0","3628.0"
"I_卸売業，小売業_30～49","218.0","8249.0","4248.0","4001.0","218.0","8249.0","4248.0","4001.0"
"I_卸売業，小売業_50～99","114.0","7581.0","3210.0","4371.0","114.0","7581.0","3210.0","4371.0"
"I_卸売業，小売業_100～199","38.0","5129.0","1753.0","3376.0","38.0","5129.0","1753.0","3376.0"
"I_卸売業，小売業_200～299","8.0","1972.0","695.0","1277.0","8.0","1972.0","695.0","1277.0"
"I_卸売業，小売業_300人以上","3.0","1459.0","710.0","749.0","3.0","1459.0","710.0","749.0"
"I_卸売業，小売業_出向・派遣従業者のみ","43.0","-","-","-","43.0","-","-","-"
"J_金融業，保険業","742.0","9792.0","4241.0","5551.0","742.0","9792.0","4241.0","5551.0"
"J_金融業，保険業_1～4人","315.0","714.0","385.0","329.0","315.0","714.0","385.0","329.0"
"J_金融業，保険業_5～9","134.0","889.0","443.0","446.0","134.0","889.0","443.0","446.0"
"J_金融業，保険業_10～19","130.0","1773.0","812.0","961.0","130.0","1773.0","812.0","961.0"
"J_金融業，保険業_20～29","81.0","1919.0","611.0","1308.0","81.0","1919.0","611.0","1308.0"
"J_金融業，保険業_30～49","45.0","1642.0","584.0","1058.0","45.0","1642.0","584.0","1058.0"
"J_金融業，保険業_50～99","20.0","1283.0","482.0","801.0","20.0","1283.0","482.0","801.0"
"J_金融業，保険業_100～199","2.0","262.0","139.0","123.0","2.0","262.0","139.0","123.0"
"J_金融業，保険業_200～299","2.0","487.0","330.0","157.0","2.0","487.0","330.0","157.0"
"J_金融業，保険業_300人以上","1.0","823.0","455.0","368.0","1.0","823.0","455.0","368.0"
"J_金融業，保険業_出向・派遣従業者のみ","12.0","-","-","-","12.0","-","-","-"
"K_不動産業，物品賃貸業","2981.0","8565.0","4700.0","3865.0","2976.0","8548.0","4685.0","3863.0"
"K_不動産業，物品賃貸業_1～4人","2638.0","4389.0","2394.0","1995.0","2635.0","4385.0","2390.0","1995.0"
"K_不動産業，物品賃貸業_5～9","224.0","1422.0","839.0","583.0","222.0","1409.0","828.0","581.0"
"K_不動産業，物品賃貸業_10～19","70.0","960.0","576.0","384.0","70.0","960.0","576.0","384.0"
"K_不動産業，物品賃貸業_20～29","22.0","515.0","260.0","255.0","22.0","515.0","260.0","255.0"
"K_不動産業，物品賃貸業_30～49","10.0","358.0","151.0","207.0","10.0","358.0","151.0","207.0"
"K_不動産業，物品賃貸業_50～99","5.0","306.0","132.0","174.0","5.0","306.0","132.0","174.0"
"K_不動産業，物品賃貸業_100～199","5.0","615.0","348.0","267.0","5.0","615.0","348.0","267.0"
"K_不動産業，物品賃貸業_200～299","-","-","-","-","-","-","-","-"
"K_不動産業，物品賃貸業_300人以上","-","-","-","-","-","-","-","-"
"K_不動産業，物品賃貸業_出向・派遣従業者のみ","7.0","-","-","-","7.0","-","-","-"
"L_学術研究，専門・技術サービス業","1520.0","8156.0","5469.0","2687.0","1476.0","7444.0","4930.0","2514.0"
"L_学術研究，専門・技術サービス業_1～4人","1084.0","2330.0","1461.0","869.0","1069.0","2286.0","1434.0","852.0"
"L_学術研究，専門・技術サービス業_5～9","272.0","1740.0","984.0","756.0","262.0","1679.0","942.0","737.0"
"L_学術研究，専門・技術サービス業_10～19","98.0","1296.0","874.0","422.0","90.0","1181.0","785.0","396.0"
"L_学術研究，専門・技術サービス業_20～29","33.0","789.0","588.0","201.0","27.0","635.0","467.0","168.0"
"L_学術研究，専門・技術サービス業_30～49","16.0","594.0","468.0","126.0","14.0","515.0","411.0","104.0"
"L_学術研究，専門・技術サービス業_50～99","9.0","551.0","441.0","110.0","7.0","401.0","321.0","80.0"
"L_学術研究，専門・技術サービス業_100～199","4.0","607.0","464.0","143.0","3.0","498.0","381.0","117.0"
"L_学術研究，専門・技術サービス業_200～299","1.0","249.0","189.0","60.0","1.0","249.0","189.0","60.0"
"L_学術研究，専門・技術サービス業_300人以上","-","-","-","-","-","-","-","-"
"L_学術研究，専門・技術サービス業_出向・派遣従業者のみ","3.0","-","-","-","3.0","-","-","-"
"M_宿泊業，飲食サービス業","5869.0","38544.0","14179.0","24300.0","5822.0","38215.0","14070.0","24080.0"
"M_宿泊業，飲食サービス業_1～4人","3930.0","8113.0","2691.0","5418.0","3907.0","8049.0","2661.0","5384.0"
"M_宿泊業，飲食サービス業_5～9","1006.0","6538.0","2163.0","4344.0","998.0","6481.0","2150.0","4300.0"
"M_宿泊業，飲食サービス業_10～19","514.0","6937.0","2628.0","4279.0","502.0","6799.0","2587.0","4182.0"
"M_宿泊業，飲食サービス業_20～29","205.0","4840.0","1756.0","3084.0","202.0","4770.0","1731.0","3039.0"
"M_宿泊業，飲食サービス業_30～49","130.0","4709.0","1836.0","2873.0","130.0","4709.0","1836.0","2873.0"
"M_宿泊業，飲食サービス業_50～99","57.0","3838.0","1578.0","2260.0","57.0","3838.0","1578.0","2260.0"
"M_宿泊業，飲食サービス業_100～199","17.0","2244.0","1125.0","1119.0","17.0","2244.0","1125.0","1119.0"
"M_宿泊業，飲食サービス業_200～299","2.0","409.0","242.0","167.0","2.0","409.0","242.0","167.0"
"M_宿泊業，飲食サービス業_300人以上","2.0","916.0","160.0","756.0","2.0","916.0","160.0","756.0"
"M_宿泊業，飲食サービス業_出向・派遣従業者のみ","6.0","-","-","-","5.0","-","-","-"
"N_生活関連サービス業，娯楽業","4436.0","16796.0","7255.0","9541.0","4384.0","16581.0","7101.0","9480.0"
"N_生活関連サービス業，娯楽業_1～4人","3722.0","6434.0","2614.0","3820.0","3692.0","6371.0","2566.0","3805.0"
"N_生活関連サービス業，娯楽業_5～9","387.0","2473.0","1071.0","1402.0","369.0","2356.0","991.0","1365.0"
"N_生活関連サービス業，娯楽業_10～19","185.0","2512.0","1254.0","1258.0","182.0","2477.0","1228.0","1249.0"
"N_生活関連サービス業，娯楽業_20～29","63.0","1513.0","766.0","747.0","63.0","1513.0","766.0","747.0"
"N_生活関連サービス業，娯楽業_30～49","46.0","1824.0","784.0","1040.0","46.0","1824.0","784.0","1040.0"
"N_生活関連サービス業，娯楽業_50～99","20.0","1380.0","562.0","818.0","20.0","1380.0","562.0","818.0"
"N_生活関連サービス業，娯楽業_100～199","6.0","660.0","204.0","456.0","6.0","660.0","204.0","456.0"
"N_生活関連サービス業，娯楽業_200～299","-","-","-","-","-","-","-","-"
"N_生活関連サービス業，娯楽業_300人以上","-","-","-","-","-","-","-","-"
"N_生活関連サービス業，娯楽業_出向・派遣従業者のみ","7.0","-","-","-","6.0","-","-","-"
"O_教育，学習支援業","2146.0","24156.0","11122.0","13028.0","1489.0","11375.0","5384.0","5985.0"
"O_教育，学習支援業_1～4人","1252.0","2169.0","805.0","1364.0","1106.0","1821.0","669.0","1152.0"
"O_教育，学習支援業_5～9","260.0","1710.0","713.0","991.0","167.0","1068.0","490.0","572.0"
"O_教育，学習支援業_10～19","323.0","4638.0","2074.0","2564.0","124.0","1659.0","793.0","866.0"
"O_教育，学習支援業_20～29","140.0","3402.0","1472.0","1930.0","38.0","934.0","459.0","475.0"
"O_教育，学習支援業_30～49","101.0","3750.0","1621.0","2129.0","30.0","1152.0","546.0","606.0"
"O_教育，学習支援業_50～99","51.0","3761.0","2218.0","1543.0","13.0","1065.0","681.0","384.0"
"O_教育，学習支援業_100～199","12.0","1568.0","812.0","756.0","4.0","518.0","339.0","179.0"
"O_教育，学習支援業_200～299","2.0","464.0","299.0","165.0","2.0","464.0","299.0","165.0"
"O_教育，学習支援業_300人以上","2.0","2694.0","1108.0","1586.0","2.0","2694.0","1108.0","1586.0"
"O_教育，学習支援業_出向・派遣従業者のみ","3.0","-","-","-","3.0","-","-","-"
"P_医療，福祉","4162.0","66582.0","18432.0","48145.0","3835.0","58030.0","16380.0","41645.0"
"P_医療，福祉_1～4人","1460.0","3425.0","1489.0","1936.0","1369.0","3199.0","1411.0","1788.0"
"P_医療，福祉_5～9","1174.0","7820.0","2022.0","5793.0","1115.0","7422.0","1974.0","5443.0"
"P_医療，福祉_10～19","768.0","10302.0","2308.0","7994.0","695.0","9274.0","2230.0","7044.0"
"P_医療，福祉_20～29","260.0","6212.0","1269.0","4943.0","227.0","5421.0","1196.0","4225.0"
"P_医療，福祉_30～49","220.0","8403.0","2066.0","6337.0","192.0","7396.0","1853.0","5543.0"
"P_医療，福祉_50～99","172.0","11750.0","3598.0","8152.0","158.0","10860.0","3311.0","7549.0"
"P_医療，福祉_100～199","67.0","8793.0","2785.0","6008.0","61.0","7912.0","2441.0","5471.0"
"P_医療，福祉_200～299","7.0","1788.0","491.0","1297.0","4.0","1027.0","307.0","720.0"
"P_医療，福祉_300人以上","16.0","8089.0","2404.0","5685.0","11.0","5519.0","1657.0","3862.0"
"P_医療，福祉_出向・派遣従業者のみ","18.0","-","-","-","3.0","-","-","-"
"Q_複合サービス事業","448.0","5289.0","3396.0","1893.0","447.0","5287.0","3396.0","1891.0"
"Q_複合サービス事業_1～4人","239.0","716.0","304.0","412.0","238.0","714.0","304.0","410.0"
"Q_複合サービス事業_5～9","120.0","779.0","386.0","393.0","120.0","779.0","386.0","393.0"
"Q_複合サービス事業_10～19","46.0","625.0","373.0","252.0","46.0","625.0","373.0","252.0"
"Q_複合サービス事業_20～29","19.0","456.0","285.0","171.0","19.0","456.0","285.0","171.0"
"Q_複合サービス事業_30～49","6.0","235.0","174.0","61.0","6.0","235.0","174.0","61.0"
"Q_複合サービス事業_50～99","6.0","511.0","356.0","155.0","6.0","511.0","356.0","155.0"
"Q_複合サービス事業_100～199","9.0","1208.0","917.0","291.0","9.0","1208.0","917.0","291.0"
"Q_複合サービス事業_200～299","2.0","422.0","326.0","96.0","2.0","422.0","326.0","96.0"
"Q_複合サービス事業_300人以上","1.0","337.0","275.0","62.0","1.0","337.0","275.0","62.0"
"Q_複合サービス事業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-"
"R_サービス業（他に分類されないもの）","3776.0","24162.0","15169.0","8993.0","3685.0","23317.0","14405.0","8912.0"
"R_サービス業（他に分類されないもの）_1～4人","2719.0","5323.0","3362.0","1961.0","2667.0","5196.0","3277.0","1919.0"
"R_サービス業（他に分類されないもの）_5～9","536.0","3448.0","2309.0","1139.0","518.0","3330.0","2207.0","1123.0"
"R_サービス業（他に分類されないもの）_10～19","287.0","3783.0","2677.0","1106.0","276.0","3635.0","2547.0","1088.0"
"R_サービス業（他に分類されないもの）_20～29","78.0","1841.0","1217.0","624.0","74.0","1750.0","1129.0","621.0"
"R_サービス業（他に分類されないもの）_30～49","75.0","2797.0","1739.0","1058.0","73.0","2715.0","1658.0","1057.0"
"R_サービス業（他に分類されないもの）_50～99","44.0","3034.0","2161.0","873.0","42.0","2868.0","1996.0","872.0"
"R_サービス業（他に分類されないもの）_100～199","18.0","2454.0","1358.0","1096.0","17.0","2341.0","1245.0","1096.0"
"R_サービス業（他に分類されないもの）_200～299","1.0","248.0","43.0","205.0","1.0","248.0","43.0","205.0"
"R_サービス業（他に分類されないもの）_300人以上","3.0","1234.0","303.0","931.0","3.0","1234.0","303.0","931.0"
"R_サービス業（他に分類されないもの）_出向・派遣従業者のみ","15.0","-","-","-","14.0","-","-","-"
"S_公務（他に分類されるものを除く）","630.0","17414.0","13034.0","4380.0","-","-","-","-"
"S_公務（他に分類されるものを除く）_1～4人","293.0","535.0","395.0","140.0","-","-","-","-"
"S_公務（他に分類されるものを除く）_5～9","108.0","723.0","546.0","177.0","-","-","-","-"
"S_公務（他に分類されるものを除く）_10～19","71.0","946.0","754.0","192.0","-","-","-","-"
"S_公務（他に分類されるものを除く）_20～29","37.0","904.0","725.0","179.0","-","-","-","-"
