"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女"
"A～R 全産業(S公務を除く)","48411.0","378487.0","201667.0","176657.0","304206.0","157603.0","146442.0","26330.0","74825.0","35461.0","39357.0","36496.0","13334.0","23157.0","21862.0","302819.0","165841.0","136822.0","267083.0","144031.0","122896.0","17428.0","237198.0","139842.0","97205.0","208232.0","122259.0","85822.0"
"A～R 全産業(S公務を除く)_1～4人","31331.0","64220.0","33405.0","30796.0","26053.0","10795.0","15240.0","22401.0","43101.0","21645.0","21455.0","12676.0","4307.0","8369.0","8773.0","20846.0","11649.0","9179.0","13159.0","6416.0","6725.0","6576.0","16580.0","9286.0","7276.0","10534.0","5336.0","5180.0"
"A～R 全産業(S公務を除く)_5～9人","8603.0","55961.0","29093.0","26784.0","42026.0","20395.0","21548.0","3091.0","19313.0","8585.0","10722.0","13602.0","5003.0","8594.0","5475.0","36404.0","20402.0","15924.0","28231.0","15315.0","12838.0","4705.0","31178.0","18068.0","13037.0","23856.0","13458.0","10325.0"
"A～R 全産業(S公務を除く)_10～19人","4685.0","62732.0","33618.0","29074.0","53349.0","27990.0","25319.0","710.0","9021.0","3800.0","5221.0","7317.0","2819.0","4498.0","3955.0","53438.0","29690.0","23708.0","45828.0","25084.0","20704.0","3263.0","44074.0","25913.0","18121.0","37852.0","22084.0","15728.0"
"A～R 全産業(S公務を除く)_20～29人","1539.0","36552.0","18915.0","17617.0","32736.0","16668.0","16048.0","97.0","2204.0","948.0","1256.0","1902.0","764.0","1138.0","1441.0","34325.0","17954.0","16351.0","30822.0","15902.0","14900.0","1174.0","27885.0","15404.0","12461.0","25069.0","13770.0","11279.0"
"A～R 全産業(S公務を除く)_30～49人","1130.0","42724.0","22594.0","20130.0","39106.0","20578.0","18528.0","20.0","716.0","342.0","374.0","621.0","311.0","310.0","1109.0","41978.0","22245.0","19733.0","38485.0","20267.0","18218.0","885.0","33353.0","18975.0","14378.0","30778.0","17502.0","13276.0"
"A～R 全産業(S公務を除く)_50～99人","671.0","45682.0","24046.0","21636.0","42779.0","22478.0","20301.0","7.0","470.0","141.0","329.0","378.0","130.0","248.0","664.0","45212.0","23905.0","21307.0","42401.0","22348.0","20053.0","492.0","33058.0","19439.0","13619.0","30869.0","18221.0","12648.0"
"A～R 全産業(S公務を除く)_100人以上","338.0","70616.0","39996.0","30620.0","68157.0","38699.0","29458.0","-","-","-","-","-","-","-","338.0","70616.0","39996.0","30620.0","68157.0","38699.0","29458.0","244.0","51070.0","32757.0","18313.0","49274.0","31888.0","17386.0"
"A～R 全産業(S公務を除く)_出向・派遣従業者のみ","114.0","-","-","-","-","-","-","4.0","-","-","-","-","-","-","107.0","-","-","-","-","-","-","89.0","-","-","-","-","-","-"
"A～R 全産業(S公務を除く)_(再掲)5人以下","34094.0","78035.0","40533.0","37473.0","35762.0","15305.0","20429.0","23619.0","49191.0","24513.0","24677.0","16653.0","5835.0","10818.0","10309.0","28526.0","15900.0","12598.0","18853.0","9389.0","9436.0","7919.0","23295.0","13024.0","10248.0","15410.0","7903.0","7484.0"
"A～R 全産業(S公務を除く)_(再掲)20人以下","44861.0","187753.0","98710.0","88880.0","125758.0","61481.0","64116.0","26223.0","71855.0","34181.0","37667.0","33942.0","12250.0","21687.0","18424.0","115108.0","64184.0","50768.0","91201.0","48995.0","42050.0","14739.0","95732.0","55522.0","40059.0","75716.0","42874.0","32691.0"
"A～B 農林漁業","242.0","2875.0","1912.0","963.0","2003.0","1317.0","686.0","-","-","-","-","-","-","-","235.0","2808.0","1873.0","935.0","1969.0","1287.0","682.0","124.0","1381.0","781.0","600.0","1078.0","610.0","468.0"
"A～B 農林漁業_1～4人","89.0","215.0","158.0","57.0","130.0","89.0","41.0","-","-","-","-","-","-","-","86.0","207.0","154.0","53.0","123.0","85.0","38.0","45.0","127.0","92.0","35.0","72.0","52.0","20.0"
"A～B 農林漁業_5～9人","60.0","393.0","256.0","137.0","269.0","179.0","90.0","-","-","-","-","-","-","-","58.0","381.0","244.0","137.0","259.0","169.0","90.0","41.0","274.0","174.0","100.0","190.0","122.0","68.0"
"A～B 農林漁業_10～19人","54.0","697.0","430.0","267.0","474.0","304.0","170.0","-","-","-","-","-","-","-","53.0","680.0","414.0","266.0","457.0","288.0","169.0","24.0","292.0","151.0","141.0","220.0","114.0","106.0"
"A～B 農林漁業_20～29人","16.0","384.0","298.0","86.0","261.0","191.0","70.0","-","-","-","-","-","-","-","16.0","384.0","298.0","86.0","261.0","191.0","70.0","3.0","67.0","51.0","16.0","58.0","44.0","14.0"
"A～B 農林漁業_30～49人","16.0","596.0","409.0","187.0","344.0","239.0","105.0","-","-","-","-","-","-","-","15.0","566.0","402.0","164.0","344.0","239.0","105.0","7.0","261.0","149.0","112.0","209.0","126.0","83.0"
"A～B 農林漁業_50～99人","6.0","411.0","293.0","118.0","347.0","248.0","99.0","-","-","-","-","-","-","-","6.0","411.0","293.0","118.0","347.0","248.0","99.0","3.0","181.0","96.0","85.0","151.0","85.0","66.0"
"A～B 農林漁業_100人以上","1.0","179.0","68.0","111.0","178.0","67.0","111.0","-","-","-","-","-","-","-","1.0","179.0","68.0","111.0","178.0","67.0","111.0","1.0","179.0","68.0","111.0","178.0","67.0","111.0"
"A～B 農林漁業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A～B 農林漁業_(再掲)5人以下","109.0","315.0","229.0","86.0","195.0","136.0","59.0","-","-","-","-","-","-","-","106.0","307.0","225.0","82.0","188.0","132.0","56.0","58.0","192.0","140.0","52.0","113.0","84.0","29.0"
"A～B 農林漁業_(再掲)20人以下","206.0","1365.0","892.0","473.0","926.0","615.0","311.0","-","-","-","-","-","-","-","200.0","1328.0","860.0","468.0","892.0","585.0","307.0","112.0","733.0","445.0","288.0","515.0","311.0","204.0"
"A 農業，林業","193.0","2231.0","1442.0","789.0","1578.0","1002.0","576.0","-","-","-","-","-","-","-","189.0","2193.0","1431.0","762.0","1571.0","998.0","573.0","95.0","1051.0","564.0","487.0","857.0","441.0","416.0"
"A 農業，林業__1～4人","76.0","186.0","134.0","52.0","112.0","75.0","37.0","-","-","-","-","-","-","-","73.0","178.0","130.0","48.0","105.0","71.0","34.0","36.0","104.0","72.0","32.0","59.0","41.0","18.0"
"A 農業，林業__5～9人","48.0","310.0","194.0","116.0","212.0","134.0","78.0","-","-","-","-","-","-","-","48.0","310.0","194.0","116.0","212.0","134.0","78.0","32.0","211.0","131.0","80.0","149.0","93.0","56.0"
"A 農業，林業__10～19人","40.0","521.0","307.0","214.0","366.0","234.0","132.0","-","-","-","-","-","-","-","40.0","521.0","307.0","214.0","366.0","234.0","132.0","17.0","212.0","109.0","103.0","162.0","81.0","81.0"
"A 農業，林業__20～29人","11.0","257.0","185.0","72.0","178.0","122.0","56.0","-","-","-","-","-","-","-","11.0","257.0","185.0","72.0","178.0","122.0","56.0","2.0","40.0","28.0","12.0","33.0","23.0","10.0"
"A 農業，林業__30～49人","13.0","484.0","335.0","149.0","275.0","188.0","87.0","-","-","-","-","-","-","-","12.0","454.0","328.0","126.0","275.0","188.0","87.0","5.0","184.0","100.0","84.0","158.0","83.0","75.0"
