"市町村","総数_民営_事業所数","総数_民営_従業者数（注２）","総数_民営_従業者数（注２）_男","総数_民営_従業者数（注２）_女","総数_民営_従業者数（注２）_うち常用雇用者（注２）","総数_民営_従業者数（注２）_うち常用雇用者（注２）_男","総数_民営_従業者数（注２）_うち常用雇用者（注２）_女","総数_うち個人_事業所数","総数_うち個人_従業者数（注２）","総数_うち個人_従業者数（注２）_男","総数_うち個人_従業者数（注２）_女","総数_うち個人_従業者数（注２）_うち常用雇用者（注２）","総数_うち個人_従業者数（注２）_うち常用雇用者（注２）_男","総数_うち個人_従業者数（注２）_うち常用雇用者（注２）_女","総数_うち法人_事業所数","総数_うち法人_従業者数（注２）","総数_うち法人_従業者数（注２）_男","総数_うち法人_従業者数（注２）_女","総数_うち法人_従業者数（注２）_うち常用雇用者（注２）","総数_うち法人_従業者数（注２）_うち常用雇用者（注２）_男","総数_うち法人_従業者数（注２）_うち常用雇用者（注２）_女","総数_うち会社_事業所数","総数_うち会社_従業者数（注２）","総数_うち会社_従業者数（注２）_男","総数_うち会社_従業者数（注２）_女","総数_うち会社_従業者数（注２）_うち常用雇用者（注２）","総数_うち会社_従業者数（注２）_うち常用雇用者（注２）_男","総数_うち会社_従業者数（注２）_うち常用雇用者（注２）_女","総数_うち会社以外の法人_事業所数","総数_うち会社以外の法人_従業者数（注２）","総数_うち会社以外の法人_従業者数（注２）_男","総数_うち会社以外の法人_従業者数（注２）_女","総数_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）","総数_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_男","総数_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_女","総数_うち法人でない団体_事業所数","総数_うち法人でない団体_従業者数（注２）","総数_うち法人でない団体_従業者数（注２）_男","総数_うち法人でない団体_従業者数（注２）_女","総数_うち法人でない団体_従業者数（注２）_うち常用雇用者（注２）","総数_うち法人でない団体_従業者数（注２）_うち常用雇用者（注２）_男","総数_うち法人でない団体_従業者数（注２）_うち常用雇用者（注２）_女","単独事業所（注１）_民営_事業所数","単独事業所_民営_従業者数（注２）","単独事業所（注１）_民営_従業者数（注２）_男","単独事業所（注１）_民営_従業者数（注２）_女","単独事業所（注１）_民営_従業者数（注２）_うち常用雇用者（注２）","単独事業所（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_男","単独事業所（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_女","単独事業所（注１）_うち個人_事業所数","単独事業所（注１）_うち個人_従業者数（注２）","単独事業所（注１）_うち個人_従業者数（注２）_男","単独事業所（注１）_うち個人_従業者数（注２）_女","単独事業所（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）","単独事業所（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_男","単独事業所（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_女","単独事業所（注１）_うち法人_事業所数","単独事業所（注１）_うち法人_従業者数（注２）","単独事業所（注１）_うち法人_従業者数（注２）_男","単独事業所（注１）_うち法人_従業者数（注２）_女","単独事業所（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）","単独事業所（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_男","単独事業所（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_女","単独事業所（注１）_うち会社_事業所数","単独事業所（注１）_うち会社_従業者数（注２）","単独事業所（注１）_うち会社_従業者数（注２）_男","単独事業所（注１）_うち会社_従業者数（注２）_女","単独事業所（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）","単独事業所（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_男","単独事業所（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_女","単独事業所（注１）_うち会社以外の法人_事業所数","単独事業所（注１）_うち会社以外の法人_従業者数（注２）","単独事業所（注１）_うち会社以外の法人_従業者数（注２）_男","単独事業所（注１）_うち会社以外の法人_従業者数（注２）_女","単独事業所（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）","単独事業所（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_男","単独事業所（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_女","本所・本社・本店（注１）_民営_事業所数","本所・本社・本店（注１）_民営_従業者数（注２）","本所・本社・本店（注１）_民営_従業者数（注２）_男","本所・本社・本店（注１）_民営_従業者数（注２）_女","本所・本社・本店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）","本所・本社・本店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_男","本所・本社・本店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_女","本所・本社・本店（注１）_うち個人_事業所数","本所・本社・本店（注１）_うち個人_従業者数（注２）","本所・本社・本店（注１）_うち個人_従業者数（注２）_男","本所・本社・本店（注１）_うち個人_従業者数（注２）_女","本所・本社・本店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）","本所・本社・本店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_男","本所・本社・本店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_女","本所・本社・本店（注１）_うち法人_事業所数","本所・本社・本店（注１）_うち法人_従業者数（注２）","本所・本社・本店（注１）_うち法人_従業者数（注２）_男","本所・本社・本店（注１）_うち法人_従業者数（注２）_女","本所・本社・本店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）","本所・本社・本店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_男","本所・本社・本店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_女","本所・本社・本店（注１）_うち会社_事業所数","本所・本社・本店（注１）_うち会社_従業者数（注２）","本所・本社・本店（注１）_うち会社_従業者数（注２）_男","本所・本社・本店（注１）_うち会社_従業者数（注２）_女","本所・本社・本店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）","本所・本社・本店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_男","本所・本社・本店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_女","本所・本社・本店（注１）_うち会社以外の法人_事業所数","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）_男","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）_女","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_男","本所・本社・本店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_女","支所・支社・支店（注１）_民営_事業所数","支所・支社・支店（注１）_民営_従業者数（注２）","支所・支社・支店（注１）_民営_従業者数（注２）_男","支所・支社・支店（注１）_民営_従業者数（注２）_女","支所・支社・支店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）","支所・支社・支店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_男","支所・支社・支店（注１）_民営_従業者数（注２）_うち常用雇用者（注２）_女","支所・支社・支店（注１）_うち個人_事業所数","支所・支社・支店（注１）_うち個人_従業者数（注２）","支所・支社・支店（注１）_うち個人_従業者数（注２）_男","支所・支社・支店（注１）_うち個人_従業者数（注２）_女","支所・支社・支店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）","支所・支社・支店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_男","支所・支社・支店（注１）_うち個人_従業者数（注２）_うち常用雇用者（注２）_女","支所・支社・支店（注１）_うち法人_事業所数","支所・支社・支店（注１）_うち法人_従業者数（注２）","支所・支社・支店（注１）_うち法人_従業者数（注２）_男","支所・支社・支店（注１）_うち法人_従業者数（注２）_女","支所・支社・支店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）","支所・支社・支店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_男","支所・支社・支店（注１）_うち法人_従業者数（注２）_うち常用雇用者（注２）_女","支所・支社・支店（注１）_うち会社_事業所数","支所・支社・支店（注１）_うち会社_従業者数（注２）","支所・支社・支店（注１）_うち会社_従業者数（注２）_男","支所・支社・支店（注１）_うち会社_従業者数（注２）_女","支所・支社・支店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）","支所・支社・支店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_男","支所・支社・支店（注１）_うち会社_従業者数（注２）_うち常用雇用者（注２）_女","支所・支社・支店（注１）_うち会社以外の法人_事業所数","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）_男","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）_女","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_男","支所・支社・支店（注１）_うち会社以外の法人_従業者数（注２）_うち常用雇用者（注２）_女"
"県　計","48411.0","378487.0","201667.0","176657.0","304206.0","157603.0","146442.0","26330.0","74825.0","35461.0","39357.0","36496.0","13334.0","23157.0","21862.0","302819.0","165841.0","136822.0","267083.0","144031.0","122896.0","17428.0","237198.0","139842.0","97205.0","208232.0","122259.0","85822.0","4434.0","65621.0","25999.0","39617.0","58851.0","21772.0","37074.0","219.0","843.0","365.0","478.0","627.0","238.0","389.0","37037.0","181496.0","96378.0","85102.0","120031.0","59307.0","60710.0","25592.0","71383.0","33814.0","37562.0","33996.0","12245.0","21746.0","11445.0","110113.0","62564.0","47540.0","86035.0","47062.0","38964.0","8776.0","84895.0","52733.0","32158.0","65458.0","40344.0","25110.0","2669.0","25218.0","9831.0","15382.0","20577.0","6718.0","13854.0","2309.0","61093.0","34218.0","26875.0","54912.0","30206.0","24706.0","338.0","1761.0","865.0","896.0","1253.0","542.0","711.0","1971.0","59332.0","33353.0","25979.0","53659.0","29664.0","23995.0","1693.0","44989.0","27406.0","17583.0","40236.0","24371.0","15865.0","278.0","14343.0","5947.0","8396.0","13423.0","5293.0","8130.0","8846.0","135055.0","70706.0","64202.0","128636.0","67852.0","60637.0","400.0","1681.0","782.0","899.0","1247.0","547.0","700.0","8446.0","133374.0","69924.0","63303.0","127389.0","67305.0","59937.0","6959.0","107314.0","59703.0","47464.0","102538.0","57544.0","44847.0","1487.0","26060.0","10221.0","15839.0","24851.0","9761.0","15090.0"
"和歌山市","16555.0","163769.0","89041.0","74644.0","138109.0","73927.0","64100.0","7270.0","21852.0","9660.0","12185.0","11542.0","3754.0","7783.0","9235.0","141739.0","79312.0","62350.0","126401.0","70110.0","56214.0","7752.0","114854.0","69186.0","45591.0","101825.0","61383.0","40365.0","1483.0","26885.0","10126.0","16759.0","24576.0","8727.0","15849.0","50.0","178.0","69.0","109.0","166.0","63.0","103.0","11863.0","68170.0","36044.0","32115.0","47950.0","23810.0","24131.0","7072.0","20873.0","9195.0","11671.0","10791.0","3436.0","7350.0","4791.0","47297.0","26849.0","20444.0","37159.0","20374.0","16781.0","3831.0","36959.0","23184.0","13771.0","28436.0","17730.0","10702.0","960.0","10338.0","3665.0","6673.0","8723.0","2644.0","6079.0","956.0","31068.0","17873.0","13195.0","28453.0","16243.0","12210.0","90.0","451.0","231.0","220.0","326.0","141.0","185.0","866.0","30617.0","17642.0","12975.0","28127.0","16102.0","12025.0","759.0","23159.0","14628.0","8531.0","21075.0","13344.0","7731.0","107.0","7458.0","3014.0","4444.0","7052.0","2758.0","4294.0","3686.0","64353.0","35055.0","29225.0","61540.0","33811.0","27656.0","108.0","528.0","234.0","294.0","425.0","177.0","248.0","3578.0","63825.0","34821.0","28931.0","61115.0","33634.0","27408.0","3162.0","54736.0","31374.0","23289.0","52314.0","30309.0","21932.0","416.0","9089.0","3447.0","5642.0","8801.0","3325.0","5476.0"
"海 南 市","2749.0","21334.0","12360.0","8966.0","17169.0","9823.0","7338.0","1535.0","4274.0","2075.0","2199.0","1963.0","731.0","1232.0","1203.0","17042.0","10279.0","6755.0","15188.0","9086.0","6094.0","944.0","14130.0","8941.0","5181.0","12567.0","7944.0","4615.0","259.0","2912.0","1338.0","1574.0","2621.0","1142.0","1479.0","11.0","18.0","6.0","12.0","18.0","6.0","12.0","2196.0","10491.0","5768.0","4723.0","6989.0","3671.0","3318.0","1498.0","4109.0","1987.0","2122.0","1871.0","687.0","1184.0","698.0","6382.0","3781.0","2601.0","5118.0","2984.0","2134.0","530.0","5154.0","3306.0","1848.0","4085.0","2634.0","1451.0","168.0","1228.0","475.0","753.0","1033.0","350.0","683.0","149.0","4162.0","2373.0","1789.0","3761.0","2095.0","1666.0","21.0","91.0","49.0","42.0","52.0","26.0","26.0","128.0","4071.0","2324.0","1747.0","3709.0","2069.0","1640.0","113.0","3362.0","2004.0","1358.0","3018.0","1761.0","1257.0","15.0","709.0","320.0","389.0","691.0","308.0","383.0","393.0","6663.0","4213.0","2442.0","6401.0","4051.0","2342.0","16.0","74.0","39.0","35.0","40.0","18.0","22.0","377.0","6589.0","4174.0","2407.0","6361.0","4033.0","2320.0","301.0","5614.0","3631.0","1975.0","5464.0","3549.0","1907.0","76.0","975.0","543.0","432.0","897.0","484.0","413.0"
"橋 本 市","2581.0","19024.0","8968.0","10033.0","14961.0","6628.0","8310.0","1516.0","4662.0","2116.0","2546.0","2412.0","842.0","1570.0","1053.0","14313.0","6831.0","7459.0","12511.0","5773.0","6715.0","842.0","10867.0","5578.0","5266.0","9454.0","4747.0","4684.0","211.0","3446.0","1253.0","2193.0","3057.0","1026.0","2031.0","12.0","49.0","21.0","28.0","38.0","13.0","25.0","1983.0","9330.0","4556.0","4774.0","6061.0","2637.0","3424.0","1459.0","4319.0","1940.0","2379.0","2154.0","711.0","1443.0","524.0","5011.0","2616.0","2395.0","3907.0","1926.0","1981.0","399.0","3657.0","2145.0","1512.0","2816.0","1610.0","1206.0","125.0","1354.0","471.0","883.0","1091.0","316.0","775.0","99.0","2054.0","1015.0","1039.0","1754.0","816.0","938.0","26.0","208.0","118.0","90.0","166.0","89.0","77.0","73.0","1846.0","897.0","949.0","1588.0","727.0","861.0","65.0","1428.0","714.0","714.0","1217.0","584.0","633.0","8.0","418.0","183.0","235.0","371.0","143.0","228.0","487.0","7591.0","3376.0","4192.0","7108.0","3162.0","3923.0","31.0","135.0","58.0","77.0","92.0","42.0","50.0","456.0","7456.0","3318.0","4115.0","7016.0","3120.0","3873.0","378.0","5782.0","2719.0","3040.0","5421.0","2553.0","2845.0","78.0","1674.0","599.0","1075.0","1595.0","567.0","1028.0"
"有 田 市","1690.0","10642.0","5891.0","4751.0","7900.0","4234.0","3666.0","1155.0","3102.0","1517.0","1585.0","1350.0","520.0","830.0","528.0","7528.0","4371.0","3157.0","6541.0","3712.0","2829.0","435.0","6376.0","3885.0","2491.0","5562.0","3351.0","2211.0","93.0","1152.0","486.0","666.0","979.0","361.0","618.0","7.0","12.0","3.0","9.0","9.0","2.0","7.0","1440.0","6306.0","3302.0","3004.0","3839.0","1812.0","2027.0","1131.0","3021.0","1496.0","1525.0","1294.0","511.0","783.0","309.0","3285.0","1806.0","1479.0","2545.0","1301.0","1244.0","240.0","2761.0","1569.0","1192.0","2147.0","1160.0","987.0","69.0","524.0","237.0","287.0","398.0","141.0","257.0","61.0","1162.0","690.0","472.0","993.0","565.0","428.0","13.0","50.0","15.0","35.0","33.0","7.0","26.0","48.0","1112.0","675.0","437.0","960.0","558.0","402.0","46.0","956.0","608.0","348.0","831.0","518.0","313.0","2.0","156.0","67.0","89.0","129.0","40.0","89.0","182.0","3162.0","1896.0","1266.0","3059.0","1855.0","1204.0","11.0","31.0","6.0","25.0","23.0","2.0","21.0","171.0","3131.0","1890.0","1241.0","3036.0","1853.0","1183.0","149.0","2659.0","1708.0","951.0","2584.0","1673.0","911.0","22.0","472.0","182.0","290.0","452.0","180.0","272.0"
"御 坊 市","1882.0","11828.0","6171.0","5657.0","9106.0","4548.0","4558.0","1137.0","3287.0","1555.0","1732.0","1640.0","607.0","1033.0","731.0","8518.0","4608.0","3910.0","7448.0","3937.0","3511.0","581.0","6563.0","3793.0","2770.0","5725.0","3273.0","2452.0","150.0","1955.0","815.0","1140.0","1723.0","664.0","1059.0","14.0","23.0","8.0","15.0","18.0","4.0","14.0","1435.0","6025.0","3211.0","2814.0","3686.0","1792.0","1894.0","1101.0","3155.0","1496.0","1659.0","1543.0","570.0","973.0","334.0","2870.0","1715.0","1155.0","2143.0","1222.0","921.0","246.0","2236.0","1470.0","766.0","1693.0","1097.0","596.0","88.0","634.0","245.0","389.0","450.0","125.0","325.0","98.0","1798.0","920.0","878.0","1604.0","795.0","809.0","16.0","71.0","36.0","35.0","49.0","21.0","28.0","82.0","1727.0","884.0","843.0","1555.0","774.0","781.0","74.0","1175.0","703.0","472.0","1022.0","609.0","413.0","8.0","552.0","181.0","371.0","533.0","165.0","368.0","335.0","3982.0","2032.0","1950.0","3798.0","1957.0","1841.0","20.0","61.0","23.0","38.0","48.0","16.0","32.0","315.0","3921.0","2009.0","1912.0","3750.0","1941.0","1809.0","261.0","3152.0","1620.0","1532.0","3010.0","1567.0","1443.0","54.0","769.0","389.0","380.0","740.0","374.0","366.0"
"田 辺 市","5129.0","32390.0","16708.0","15676.0","24890.0","12181.0","12703.0","2998.0","8261.0","4098.0","4163.0","3914.0","1563.0","2351.0","2096.0","23966.0","12514.0","11446.0","20872.0","10574.0","10292.0","1650.0","18217.0","10124.0","8087.0","15660.0","8563.0","7091.0","446.0","5749.0","2390.0","3359.0","5212.0","2011.0","3201.0","35.0","163.0","96.0","67.0","104.0","44.0","60.0","3918.0","16377.0","8645.0","7732.0","10123.0","4836.0","5287.0","2893.0","7756.0","3871.0","3885.0","3595.0","1417.0","2178.0","1025.0","8621.0","4774.0","3847.0","6528.0","3419.0","3109.0","818.0","7100.0","4171.0","2929.0","5308.0","3025.0","2283.0","207.0","1521.0","603.0","918.0","1220.0","394.0","826.0","240.0","4614.0","2383.0","2231.0","4006.0","1976.0","2030.0","43.0","212.0","91.0","121.0","132.0","52.0","80.0","197.0","4402.0","2292.0","2110.0","3874.0","1924.0","1950.0","160.0","3250.0","1697.0","1553.0","2854.0","1446.0","1408.0","37.0","1152.0","595.0","557.0","1020.0","478.0","542.0","936.0","11236.0","5584.0","5646.0","10657.0","5325.0","5326.0","62.0","293.0","136.0","157.0","187.0","94.0","93.0","874.0","10943.0","5448.0","5489.0","10470.0","5231.0","5233.0","672.0","7867.0","4256.0","3605.0","7498.0","4092.0","3400.0","202.0","3076.0","1192.0","1884.0","2972.0","1139.0","1833.0"
"新 宮 市","2461.0","14418.0","7204.0","7199.0","11119.0","5285.0","5819.0","1496.0","4077.0","1769.0","2308.0","2069.0","667.0","1402.0","958.0","10326.0","5432.0","4879.0","9035.0","4615.0","4405.0","774.0","8185.0","4637.0","3533.0","7082.0","3948.0","3119.0","184.0","2141.0","795.0","1346.0","1953.0","667.0","1286.0","7.0","15.0","3.0","12.0","15.0","3.0","12.0","1907.0","7642.0","3785.0","3857.0","4834.0","2161.0","2673.0","1445.0","3833.0","1677.0","2156.0","1872.0","605.0","1267.0","462.0","3809.0","2108.0","1701.0","2962.0","1556.0","1406.0","350.0","2791.0","1740.0","1051.0","2103.0","1299.0","804.0","112.0","1018.0","368.0","650.0","859.0","257.0","602.0","121.0","1848.0","1059.0","789.0","1570.0","871.0","699.0","28.0","170.0","67.0","103.0","136.0","46.0","90.0","93.0","1678.0","992.0","686.0","1434.0","825.0","609.0","83.0","1380.0","880.0","500.0","1148.0","722.0","426.0","10.0","298.0","112.0","186.0","286.0","103.0","183.0","426.0","4913.0","2357.0","2541.0","4700.0","2250.0","2435.0","23.0","74.0","25.0","49.0","61.0","16.0","45.0","403.0","4839.0","2332.0","2492.0","4639.0","2234.0","2390.0","341.0","4014.0","2017.0","1982.0","3831.0","1927.0","1889.0","62.0","825.0","315.0","510.0","808.0","307.0","501.0"
"紀の川市","2297.0","18828.0","10250.0","8570.0","15067.0","8141.0","6918.0","1240.0","3508.0","1645.0","1863.0","1662.0","606.0","1056.0","1052.0","15296.0","8596.0","6692.0","13388.0","7532.0","5848.0","792.0","11783.0","7249.0","4526.0","10393.0","6416.0","3969.0","260.0","3513.0","1347.0","2166.0","2995.0","1116.0","1879.0","5.0","24.0","9.0","15.0","17.0","3.0","14.0","1786.0","10019.0","5664.0","4355.0","6881.0","3819.0","3062.0","1198.0","3276.0","1513.0","1763.0","1468.0","499.0","969.0","588.0","6743.0","4151.0","2592.0","5413.0","3320.0","2093.0","428.0","5509.0","3669.0","1840.0","4463.0","3021.0","1442.0","160.0","1234.0","482.0","752.0","950.0","299.0","651.0","98.0","2434.0","1311.0","1123.0","2234.0","1173.0","1061.0","21.0","152.0","87.0","65.0","125.0","69.0","56.0","77.0","2282.0","1224.0","1058.0","2109.0","1104.0","1005.0","60.0","1478.0","919.0","559.0","1326.0","816.0","510.0","17.0","804.0","305.0","499.0","783.0","288.0","495.0","408.0","6351.0","3266.0","3077.0","5935.0","3146.0","2781.0","21.0","80.0","45.0","35.0","69.0","38.0","31.0","387.0","6271.0","3221.0","3042.0","5866.0","3108.0","2750.0","304.0","4796.0","2661.0","2127.0","4604.0","2579.0","2017.0","83.0","1475.0","560.0","915.0","1262.0","529.0","733.0"
"岩 出 市","1474.0","13716.0","5978.0","7734.0","11621.0","4794.0","6823.0","680.0","2345.0","1060.0","1285.0","1408.0","499.0","909.0","791.0","11346.0","4910.0","6432.0","10207.0","4291.0","5912.0","679.0","9407.0","4336.0","5067.0","8509.0","3845.0","4660.0","112.0","1939.0","574.0","1365.0","1698.0","446.0","1252.0","3.0","25.0","8.0","17.0","6.0","4.0","2.0","1005.0","5818.0","2775.0","3043.0","4248.0","1829.0","2419.0","656.0","2221.0","997.0","1224.0","1306.0","452.0","854.0","349.0","3597.0","1778.0","1819.0","2942.0","1377.0","1565.0","282.0","2549.0","1454.0","1095.0","2036.0","1141.0","895.0","67.0","1048.0","324.0","724.0","906.0","236.0","670.0","60.0","1687.0","644.0","1043.0","1488.0","537.0","951.0","8.0","47.0","24.0","23.0","41.0","21.0","20.0","52.0","1640.0","620.0","1020.0","1447.0","516.0","931.0","46.0","1405.0","537.0","868.0","1267.0","462.0","805.0","6.0","235.0","83.0","152.0","180.0","54.0","126.0","406.0","6186.0","2551.0","3631.0","5879.0","2424.0","3451.0","16.0","77.0","39.0","38.0","61.0","26.0","35.0","390.0","6109.0","2512.0","3593.0","5818.0","2398.0","3416.0","351.0","5453.0","2345.0","3104.0","5206.0","2242.0","2960.0","39.0","656.0","167.0","489.0","612.0","156.0","456.0"
