"産業中分類，従業者規模","事業所数","事業所数_他への出向・派遣 _有","事業所数_他への出向・派遣 _無","事業所数_他からの出向・派遣 _出向又は派遣_有","事業所数_他からの出向・派遣 _出向又は派遣_無","事業所数_他からの出向・派遣 _出向_有","事業所数_他からの出向・派遣 _出向_無","事業所数_他からの出向・派遣 _派遣_有","事業所数_他からの出向・派遣 _派遣_無","従業者数(人) ","従業者数(人) _男","従業者数(人) _女","従業者数(人) _うち他への出向・派遣従業者数","従業者数(人) _うち他への出向・派遣従業者数_男","従業者数(人) _うち他への出向・派遣従業者数_女","他からの出向・派遣従業者数","他からの出向・派遣従業者数_男","他からの出向・派遣従業者数_女","他からの出向・派遣従業者数_出向","他からの出向・派遣従業者数_出向_男","他からの出向・派遣従業者数_出向_女","他からの出向・派遣従業者数_派遣","他からの出向・派遣従業者数_派遣","他からの出向・派遣従業者数_派遣"
"A～R 全産業（S公務を除く）","48411.0","380.0","48031.0","974.0","47437.0","583.0","47828.0","443.0","47968.0","378487.0","201667.0","176657.0","2467.0","1626.0","841.0","5126.0","3300.0","1826.0","2712.0","1871.0","841.0","2322.0","1356.0","966.0"
"A～B 農林漁業","242.0","6.0","236.0","11.0","231.0","10.0","232.0","1.0","241.0","2875.0","1912.0","963.0","16.0","16.0","-","24.0","17.0","7.0","19.0","17.0","2.0","5.0","-","5.0"
"A 農業，林業","193.0","2.0","191.0","8.0","185.0","7.0","186.0","1.0","192.0","2231.0","1442.0","789.0","3.0","3.0","-","16.0","9.0","7.0","11.0","9.0","2.0","5.0","-","5.0"
"A 農業，林業_01 農業","143.0","-","143.0","7.0","136.0","6.0","137.0","1.0","142.0","1594.0","862.0","732.0","-","-","-","15.0","8.0","7.0","10.0","8.0","2.0","5.0","-","5.0"
"A 農業，林業_02 林業","50.0","2.0","48.0","1.0","49.0","1.0","49.0","-","50.0","637.0","580.0","57.0","3.0","3.0","-","1.0","1.0","-","1.0","1.0","-","-","-","-"
"B 漁業","49.0","4.0","45.0","3.0","46.0","3.0","46.0","-","49.0","644.0","470.0","174.0","13.0","13.0","-","8.0","8.0","-","8.0","8.0","-","-","-","-"
"B 漁業_03 漁業（水産養殖業を除く）","12.0","-","12.0","-","12.0","-","12.0","-","12.0","198.0","144.0","54.0","-","-","-","-","-","-","-","-","-","-","-","-"
"B 漁業_04 水産養殖業","37.0","4.0","33.0","3.0","34.0","3.0","34.0","-","37.0","446.0","326.0","120.0","13.0","13.0","-","8.0","8.0","-","8.0","8.0","-","-","-","-"
"C～R 非農林漁業（S公務を除く）","48169.0","374.0","47795.0","963.0","47206.0","573.0","47596.0","442.0","47727.0","375612.0","199755.0","175694.0","2451.0","1610.0","841.0","5102.0","3283.0","1819.0","2693.0","1854.0","839.0","2317.0","1356.0","961.0"
"C 鉱業，採石業，砂利採取業","6.0","-","6.0","-","6.0","-","6.0","-","6.0","66.0","51.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業_05 鉱業，採石業，砂利採取業","6.0","-","6.0","-","6.0","-","6.0","-","6.0","66.0","51.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-"
"D 建設業","4521.0","44.0","4477.0","91.0","4430.0","58.0","4463.0","38.0","4483.0","26883.0","22032.0","4851.0","85.0","79.0","6.0","257.0","207.0","50.0","146.0","141.0","5.0","107.0","63.0","44.0"
"D 建設業_06 総合工事業","2175.0","21.0","2154.0","39.0","2136.0","23.0","2152.0","18.0","2157.0","14571.0","11746.0","2825.0","34.0","32.0","2.0","86.0","56.0","30.0","39.0","37.0","2.0","47.0","19.0","28.0"
"D 建設業_07 職別工事業（設備工事業を除く）","1219.0","7.0","1212.0","11.0","1208.0","6.0","1213.0","6.0","1213.0","4872.0","4039.0","833.0","12.0","11.0","1.0","33.0","32.0","1.0","15.0","15.0","-","15.0","14.0","1.0"
"D 建設業_08 設備工事業","1127.0","16.0","1111.0","41.0","1086.0","29.0","1098.0","14.0","1113.0","7440.0","6247.0","1193.0","39.0","36.0","3.0","138.0","119.0","19.0","92.0","89.0","3.0","45.0","30.0","15.0"
"E 製造業","4183.0","57.0","4126.0","142.0","4041.0","76.0","4107.0","87.0","4096.0","60858.0","41056.0","19802.0","329.0","298.0","31.0","1308.0","926.0","382.0","382.0","343.0","39.0","910.0","571.0","339.0"
"E 製造業_09 食料品製造業","767.0","3.0","764.0","16.0","751.0","7.0","760.0","7.0","760.0","10549.0","4284.0","6265.0","3.0","2.0","1.0","97.0","40.0","57.0","32.0","15.0","17.0","55.0","18.0","37.0"
"E 製造業_10 飲料・たばこ・飼料製造業","71.0","4.0","67.0","5.0","66.0","3.0","68.0","4.0","67.0","1736.0","1239.0","497.0","22.0","19.0","3.0","48.0","29.0","19.0","13.0","10.0","3.0","35.0","19.0","16.0"
"E 製造業_11 繊維工業","661.0","3.0","658.0","9.0","652.0","6.0","655.0","3.0","658.0","6034.0","3005.0","3029.0","7.0","6.0","1.0","28.0","20.0","8.0","23.0","17.0","6.0","5.0","3.0","2.0"
"E 製造業_12 木材・木製品製造業（家具を除く）","280.0","2.0","278.0","3.0","277.0","2.0","278.0","2.0","278.0","1988.0","1489.0","499.0","2.0","1.0","1.0","28.0","25.0","3.0","25.0","24.0","1.0","3.0","1.0","2.0"
"E 製造業_13 家具・装備品製造業","372.0","1.0","371.0","4.0","368.0","1.0","371.0","3.0","369.0","2120.0","1540.0","580.0","16.0","16.0","-","8.0","8.0","-","1.0","1.0","-","7.0","7.0","-"
"E 製造業_14 パルプ・紙・紙加工品製造業","62.0","2.0","60.0","1.0","61.0","1.0","61.0","-","62.0","945.0","676.0","269.0","5.0","4.0","1.0","2.0","2.0","-","2.0","2.0","-","-","-","-"
"E 製造業_15 印刷・同関連業","218.0","1.0","217.0","-","218.0","-","218.0","-","218.0","1612.0","1060.0","552.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-"
"E 製造業_16 化学工業","115.0","8.0","107.0","14.0","101.0","9.0","106.0","10.0","105.0","5773.0","4374.0","1399.0","35.0","31.0","4.0","198.0","99.0","99.0","25.0","23.0","2.0","173.0","76.0","97.0"
"E 製造業_17 石油製品・石炭製品製造業","21.0","3.0","18.0","5.0","16.0","2.0","19.0","3.0","18.0","1004.0","943.0","61.0","12.0","12.0","-","12.0","9.0","3.0","6.0","6.0","-","6.0","3.0","3.0"
"E 製造業_18 プラスチック製品製造業（別掲を除く）","141.0","1.0","140.0","5.0","136.0","1.0","140.0","4.0","137.0","2115.0","1248.0","867.0","1.0","1.0","-","10.0","6.0","4.0","2.0","2.0","-","8.0","4.0","4.0"
"E 製造業_19 ゴム製品製造業","23.0","1.0","22.0","3.0","20.0","2.0","21.0","2.0","21.0","976.0","733.0","243.0","5.0","5.0","-","12.0","9.0","3.0","4.0","4.0","-","8.0","5.0","3.0"
"E 製造業_20 なめし革・同製品・毛皮製造業","23.0","-","23.0","-","23.0","-","23.0","-","23.0","162.0","93.0","69.0","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_21 窯業・土石製品製造業","161.0","6.0","155.0","14.0","147.0","11.0","150.0","4.0","157.0","1783.0","1505.0","278.0","26.0","24.0","2.0","76.0","70.0","6.0","49.0","47.0","2.0","27.0","23.0","4.0"
"E 製造業_22 鉄鋼業","75.0","3.0","72.0","8.0","67.0","5.0","70.0","6.0","69.0","4607.0","4331.0","276.0","65.0","57.0","8.0","53.0","36.0","17.0","11.0","11.0","-","42.0","25.0","17.0"
"E 製造業_23 非鉄金属製造業","20.0","2.0","18.0","4.0","16.0","3.0","17.0","3.0","17.0","553.0","391.0","162.0","3.0","1.0","2.0","64.0","33.0","31.0","16.0","15.0","1.0","48.0","18.0","30.0"
"E 製造業_24 金属製品製造業","345.0","7.0","338.0","21.0","324.0","12.0","333.0","13.0","332.0","4744.0","3840.0","904.0","45.0","42.0","3.0","228.0","198.0","30.0","66.0","65.0","1.0","162.0","133.0","29.0"
"E 製造業_25 はん用機械器具製造業","98.0","2.0","96.0","6.0","92.0","3.0","95.0","6.0","92.0","2790.0","2380.0","410.0","69.0","67.0","2.0","276.0","232.0","44.0","64.0","63.0","1.0","212.0","169.0","43.0"
