"企業産業中分類","企業数","0～4人","5～9人","10～19人","20～29人","30～49人","50～99人"," 100
 　～299人"," 300
  ～999人","1,000
 ～1,999人","2,000
 ～4,999人","  5,000人
        以上"
"A～R 全産業（S公務を除く）","10469.0","5379.0","2100.0","1442.0","534.0","478.0","310.0","187.0","32.0","4.0","2.0","1.0"
"A～B 農林漁業","103.0","50.0","33.0","8.0","3.0","6.0","2.0","1.0","-","-","-","-"
"A 農業，林業","78.0","39.0","24.0","7.0","-","5.0","2.0","1.0","-","-","-","-"
"A 農業，林業_01 農業","57.0","24.0","19.0","6.0","-","5.0","2.0","1.0","-","-","-","-"
"A 農業，林業_02 林業","21.0","15.0","5.0","1.0","-","-","-","-","-","-","-","-"
"B 漁業","25.0","11.0","9.0","1.0","3.0","1.0","-","-","-","-","-","-"
"B 漁業_03 漁業（水産養殖業を除く）","6.0","1.0","2.0","-","2.0","1.0","-","-","-","-","-","-"
"B 漁業_04 水産養殖業","19.0","10.0","7.0","1.0","1.0","-","-","-","-","-","-","-"
"C～R 非農林漁業（S公務を除く）","10366.0","5329.0","2067.0","1434.0","531.0","472.0","308.0","186.0","32.0","4.0","2.0","1.0"
"C 鉱業，採石業，砂利採取業","4.0","2.0","-","-","1.0","1.0","-","-","-","-","-","-"
"C 鉱業，採石業，砂利採取業_05 鉱業，採石業，砂利採取業","4.0","2.0","-","-","1.0","1.0","-","-","-","-","-","-"
"D 建設業","1759.0","947.0","444.0","251.0","51.0","40.0","19.0","5.0","2.0","-","-","-"
"D 建設業_06 総合工事業","982.0","515.0","247.0","152.0","27.0","30.0","6.0","4.0","1.0","-","-","-"
"D 建設業_07 職別工事業（設備工事業を除く）","323.0","181.0","91.0","38.0","7.0","4.0","1.0","1.0","-","-","-","-"
"D 建設業_08 設備工事業","454.0","251.0","106.0","61.0","17.0","6.0","12.0","-","1.0","-","-","-"
"E 製造業","1821.0","667.0","394.0","320.0","152.0","126.0","85.0","67.0","7.0","3.0","-","-"
"E 製造業_09 食料品製造業","315.0","77.0","75.0","71.0","36.0","30.0","18.0","7.0","-","1.0","-","-"
"E 製造業_10 飲料・たばこ・飼料製造業","40.0","15.0","4.0","6.0","2.0","6.0","3.0","4.0","-","-","-","-"
"E 製造業_11 繊維工業","262.0","102.0","58.0","44.0","27.0","13.0","9.0","8.0","1.0","-","-","-"
"E 製造業_12 木材・木製品製造業（家具を除く）","118.0","50.0","32.0","18.0","6.0","8.0","2.0","2.0","-","-","-","-"
"E 製造業_13 家具・装備品製造業","115.0","52.0","32.0","21.0","5.0","1.0","2.0","2.0","-","-","-","-"
"E 製造業_14 パルプ・紙・紙加工品製造業","31.0","14.0","3.0","8.0","2.0","1.0","2.0","1.0","-","-","-","-"
"E 製造業_15 印刷・同関連業","89.0","49.0","16.0","9.0","8.0","3.0","3.0","1.0","-","-","-","-"
"E 製造業_16 化学工業","70.0","28.0","7.0","5.0","5.0","9.0","8.0","7.0","1.0","-","-","-"
"E 製造業_17 石油製品・石炭製品製造業","8.0","3.0","1.0","-","1.0","1.0","-","2.0","-","-","-","-"
